ID	xref	page_num	fig_num	accession	iupac	composition	wurcs	votes	url
G6.13	None	6	6	G66420HM	Gal?1-?GlcNAc?1-?Man?1-?(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(5)NeuAc(1)Fuc(1)Man(3)Gal(3)	WURCS=2.0/5,13,12/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-3-2-1-3-5/a?-b1_a?-m1_b?-c1_c?-d1_c?-j1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_j?-k1_k?-l1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-13
G6.14	None	6	6	G66420HM	Gal?1-?GlcNAc?1-?Man?1-?(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(5)NeuAc(1)Fuc(1)Man(3)Gal(3)	WURCS=2.0/5,13,12/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-3-2-1-3-5/a?-b1_a?-m1_b?-c1_c?-d1_c?-j1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_j?-k1_k?-l1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-14
G6.15	None	6	6	G66420HM	Gal?1-?GlcNAc?1-?Man?1-?(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(5)NeuAc(1)Fuc(1)Man(3)Gal(3)	WURCS=2.0/5,13,12/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-3-2-1-3-5/a?-b1_a?-m1_b?-c1_c?-d1_c?-j1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_j?-k1_k?-l1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-15
G6.16	None	6	6	G03576JS	Gal?1-?(Fuc?1-?)GlcNAc?1-?Man?1-?(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(5)NeuAc(1)Fuc(2)Man(3)Gal(3)	WURCS=2.0/5,14,13/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-3-2-1-5-3-5/a?-b1_a?-n1_b?-c1_c?-d1_c?-j1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_j?-k1_k?-l1_k?-m1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-16
G6.17	None	6	6	G03576JS	Gal?1-?(Fuc?1-?)GlcNAc?1-?Man?1-?(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(5)NeuAc(1)Fuc(2)Man(3)Gal(3)	WURCS=2.0/5,14,13/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-3-2-1-5-3-5/a?-b1_a?-n1_b?-c1_c?-d1_c?-j1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_j?-k1_k?-l1_k?-m1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-17
G6.18	None	6	6	G03576JS	Gal?1-?(Fuc?1-?)GlcNAc?1-?Man?1-?(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(5)NeuAc(1)Fuc(2)Man(3)Gal(3)	WURCS=2.0/5,14,13/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-3-2-1-5-3-5/a?-b1_a?-n1_b?-c1_c?-d1_c?-j1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_j?-k1_k?-l1_k?-m1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-18
G6.19	None	6	6	G56513ZL	Gal?1-?GlcNAc?1-?Man?1-?(GlcNAc?1-?)(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(6)NeuAc(1)Fuc(1)Man(3)Gal(3)	WURCS=2.0/5,14,13/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-3-2-1-3-1-5/a?-b1_a?-n1_b?-c1_c?-d1_c?-j1_c?-m1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_j?-k1_k?-l1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-19
G6.20	None	6	6	G25607NP	Gal?1-?(Fuc?1-?)GlcNAc?1-?Man?1-?(Gal?1-?(Fuc?1-?)GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(5)NeuAc(1)Fuc(3)Man(3)Gal(3)	WURCS=2.0/5,15,14/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-5-3-2-1-5-3-5/a?-b1_a?-o1_b?-c1_c?-d1_c?-k1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_h?-j1_k?-l1_l?-m1_l?-n1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-20
G6.21	None	6	6	G25607NP	Gal?1-?(Fuc?1-?)GlcNAc?1-?Man?1-?(Gal?1-?(Fuc?1-?)GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(5)NeuAc(1)Fuc(3)Man(3)Gal(3)	WURCS=2.0/5,15,14/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-5-3-2-1-5-3-5/a?-b1_a?-o1_b?-c1_c?-d1_c?-k1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_h?-j1_k?-l1_l?-m1_l?-n1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-21
G6.22	None	6	6	G25607NP	Gal?1-?(Fuc?1-?)GlcNAc?1-?Man?1-?(Gal?1-?(Fuc?1-?)GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(5)NeuAc(1)Fuc(3)Man(3)Gal(3)	WURCS=2.0/5,15,14/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-5-3-2-1-5-3-5/a?-b1_a?-o1_b?-c1_c?-d1_c?-k1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_h?-j1_k?-l1_l?-m1_l?-n1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-22
